,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
CCGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,16.4105182656,0.101559120984,38.5312786146,1.77872848228,7.73843610946,30.3670641363,0.0391344809712,0.0201113186191,0.00686570774729,0.00840939695278,11.6385032204,0.0141495671292,0.0400736495518,1.08838291167,5.96047967751,0.0210798509058,46.1707517246,0.00527145002902,62.3554747681,100.223781139,0.925801153825,13.3192326739,0.00838409565365,0.0571789444336,24.202150529,41.2986507339,35.8618368283,0.106234842953,0.102305644079,30.5471676002
biomass,187.632339386,7.31057530106,510.166610315,238.510030431,182.877453312,320.33261597,0.0202564686635,272.76543783,55.2728742186,0.00142199243532,286.954935796,320.063006864,239.347574748,0.00406153991061,137.326883986,908.762231633,596.049505509,0.000483775833399,366.718590792,437.795506828,156.438624138,33.3614557557,1249.48047231,238.175305546,464.157066103,656.29851777,253.386168077,368.534786316,190.146603342,396.105225511
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,83.7899046683,31.8877856049,126.212371203,0.00176249650814,0.00667813550419,31.3772800875,29.6103764597,0.00130913979136,887.615844084,1802.59728663,0.00118663256909,343.965205761,381.468486486,8.63688175404,58.8723893804,149.858660779,0.00193262974204,2912.31797359,93.5377052305,0.00628189823968,0.00288888168367,266.562223838,373.994219477,0.00130680405874,63.662385348,36.92264638,0.00274093353707,63.497250049,204.913547488,185.122209468
solar,235.212415813,28.2598598421,676.460129916,271.494016175,284.281615813,449.08261281,555.899504177,196.647469853,288.101979695,0.000810595810098,526.966387064,0.00337591268571,398.485459509,339.607156318,240.81705437,1150.61631319,832.300726056,0.000610589719234,591.796247155,564.357415111,0.00161985645112,152.916808011,131.481397031,411.24285449,489.632411626,783.870789545,870.263174098,267.162455822,312.900553431,615.780035747
wind,367.671067788,128.480370323,657.263642304,0.000696933475916,0.0138587139212,346.359626932,150.809823609,0.00108962217812,1852.47521962,3715.3537416,0.00619662148113,1050.63354312,962.708748083,74.5687142458,218.490887899,945.82039025,343.42553307,6032.41500027,405.486648622,315.62141505,0.000549276365235,924.79791343,1853.25194198,0.000783201281322,497.273121154,653.352931892,59.760626008,501.690682016,552.935775435,605.04465541
