0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
211.5636076,63.45101996,320.5879318,152.6507784,195.3574595,390.2594877,282.3662444,228.2010824,397.2902242,117.1552298,332.6863507,240.6782811,328.2021839,57.06586292,189.6841503,1243.299163,538.0220489,436.7446559,500.4621719,486.0832803,141.7954,223.1835553,2110.623255,233.6129993,433.7276019,493.0245835,680.7965255,398.353207,425.490085,354.3295083,240.6782811,240.6782811
201.6636701,60.91442194,296.444609,142.9483669,186.2974452,373.5621526,267.7349875,217.5505906,378.4404651,115.3182483,317.1433185,233.9381726,310.8634831,54.17125666,181.966046,1186.471396,511.1781463,416.2573418,482.0619652,464.0582014,136.0370127,215.4034652,2041.312225,223.0110197,412.8433789,464.4253971,658.1614166,382.1876515,412.7040429,334.4337462,233.9381726,233.9381726
192.4816579,58.51494232,274.9552314,133.4370741,177.7912822,358.3677179,253.8571472,206.7392471,360.8192386,113.5787195,302.2881608,228.1448758,293.5480764,51.43025766,174.3608875,1121.313115,484.7850699,396.2567711,464.6570029,443.0913333,130.6472652,207.7379333,1970.887728,212.734756,393.3622344,435.338547,635.9659074,366.5793129,401.0606187,315.1423725,228.1448758,228.1448758
185.4409706,56.63769485,258.8676895,126.4091636,171.1328774,346.3599777,243.6357501,198.5440253,347.2834278,112.0017024,290.7728634,223.0262784,280.5521826,49.36635246,168.653665,1072.612914,464.7744182,381.180802,450.9941491,426.8866387,126.3833795,201.9243663,1915.236778,204.7949332,378.2616433,413.6741397,617.8436414,354.3397162,391.3969826,300.5075762,223.0262784,223.0262784
184.2810618,56.34748555,255.8946263,125.3172727,170.0887309,344.3941923,241.9688676,197.3902244,345.1000017,111.8155167,289.0037739,222.226427,278.6257176,49.03052808,167.7832345,1067.229527,461.762634,378.870909,448.8908174,424.3631369,125.722271,201.0595961,1907.850818,203.6070345,375.8327567,410.563456,615.3374119,352.5280316,389.924986,298.2541321,222.226427,222.226427
187.910451,57.33517851,263.7975439,128.9959761,173.5762251,350.6235829,247.3179747,201.790714,352.1441964,112.7414073,295.0627633,224.9526477,285.4794282,50.0944366,170.7652986,1094.748638,472.2951158,386.783081,456.0889499,432.842566,127.9699336,204.1445176,1938.277164,207.8245858,383.6752732,422.1215708,625.0920021,359.0498098,395.0864333,305.9270455,224.9526477,224.9526477
194.5865419,59.10990168,278.4890264,135.9228613,179.8413585,361.8927952,257.9538387,209.736553,365.1761894,114.4070805,305.9792714,229.5517713,297.8636012,52.06009523,176.146848,1143.661859,491.3045686,401.285311,468.9781862,448.1041696,132.0030914,209.79743,1991.305861,215.481195,397.9035225,443.3186856,641.2537678,370.7071855,404.1595766,319.925023,229.5517713,229.5517713
211.1425735,64.0178442,307.3279075,149.0693558,197.2022697,395.7055416,281.4704528,227.0306056,398.6121261,123.3405475,334.2985233,251.7395592,321.9630596,56.24731675,186.4684853,1234.8118,532.1222373,432.1356304,505.244877,486.5653558,144.0374115,222.6231104,2140.209345,235.2861117,435.2319217,483.8530795,692.3604477,403.2403922,438.7913228,351.0937099,251.7395592,251.7395592
220.245052,66.33184263,327.3382192,158.3155304,205.4000897,411.3009902,298.2945328,236.5792006,416.7280896,126.0910603,348.3236008,258.156374,336.6057167,58.84163468,192.8289168,1285.606861,555.2074271,450.5835945,521.9696787,506.0022677,149.4184396,229.8855537,2201.419748,245.2627142,454.1415809,509.7459857,708.920805,418.110723,451.3516423,368.9064288,258.156374,258.156374
220.2309802,66.37926552,328.4615908,157.4279004,205.6454375,411.8407268,295.3193797,236.1346232,416.1819454,125.7994909,348.4709377,259.3232773,336.3745818,58.79216092,192.8740387,1278.664622,555.1183094,449.9160929,522.4273285,506.4452709,149.5473089,229.4942154,2202.785659,244.9980594,454.5107803,507.7391683,712.8206466,418.2440228,452.1264401,368.5387541,259.3232773,259.3232773
